displacement,weight,mpg
307,3504,18
350,3693,15
318,3436,18
304,3433,16
302,3449,17
429,4341,15
454,4354,14
440,4312,14
455,4425,14
390,3850,15
383,3563,15
340,3609,14
400,3761,15
455,3086,14
113,2372,24
198,2833,22
199,2774,18
200,2587,21
97,2130,27
97,1835,26
110,2672,25
107,2430,24
104,2375,25
121,2234,26
199,2648,21
360,4615,10
307,4376,10
318,4382,11
304,4732,9
97,2130,27
140,2264,28
113,2228,25
98,2046,25
232,2634,19
225,3439,16
250,3329,17
250,3302,19
232,3288,18
350,4209,14
400,4464,14
351,4154,14
318,4096,14
383,4955,12
400,4746,13
400,5140,13
258,2962,18
140,2408,22
250,3282,19
250,3139,18
122,2220,23
116,2123,28
79,2074,30
88,2065,30
71,1773,31
72,1613,35
97,1834,27
91,1955,26
113,2278,24
97.5,2126,25
97,2254,23
140,2408,20
122,2226,21
350,4274,13
400,4385,14
318,4135,15
351,4129,14
304,3672,17
429,4633,11
350,4502,13
350,4456,12
400,4422,13
70,2330,19
304,3892,15
307,4098,13
302,4294,13
318,4077,14
121,2933,18
121,2511,22
120,2979,21
96,2189,26
122,2395,22
97,2288,28
120,2506,23
98,2164,28
97,2100,27
350,4100,13
304,3672,14
350,3988,13
302,4042,14
318,3777,15
429,4952,12
400,4464,13
351,4363,13
318,4237,14
440,4735,13
455,4951,12
360,3821,13
225,3121,18
250,3278,16
232,2945,18
250,3021,18
198,2904,23
97,1950,26
400,4997,11
400,4906,12
360,4654,13
350,4499,12
232,2789,18
97,2279,20
140,2401,21
108,2379,22
70,2124,18
122,2310,19
155,2472,21
98,2265,26
350,4082,15
400,4278,16
68,1867,29
116,2158,24
114,2582,20
121,2868,19
318,3399,15
121,2660,24
156,2807,20
350,3664,11
198,3102,20
200,2875,21
232,2901,19
250,3336,15
79,1950,31
122,2451,26
71,1836,32
140,2542,25
250,3781,16
258,3632,16
225,3613,18
302,4141,16
350,4699,13
318,4457,14
302,4638,14
304,4257,14
98,2219,29
79,1963,26
97,2300,26
76,1649,31
83,2003,32
90,2125,28
90,2108,24
116,2246,26
120,2489,24
108,2391,26
79,2000,31
225,3264,19
250,3459,18
250,3432,15
250,3158,15
400,4668,16
350,4440,15
318,4498,16
351,4657,14
231,3907,17
250,3897,16
258,3730,15
225,3785,18
231,3039,21
262,3221,20
302,3169,13
97,2171,29
140,2639,23
232,2914,20
140,2592,23
134,2702,24
90,2223,25
119,2545,24
171,2984,18
90,1937,29
232,3211,19
115,2694,23
120,2957,23
121,2945,22
121,2671,25
91,1795,33
107,2464,28
116,2220,25
140,2572,25
98,2255,26
101,2202,27
305,4215,17.5
318,4190,16
304,3962,15.5
351,4215,14.5
225,3233,22
250,3353,22
200,3012,24
232,3085,22.5
85,2035,29
98,2164,24.5
90,1937,29
91,1795,33
225,3651,20
250,3574,18
250,3645,18.5
258,3193,17.5
97,1825,29.5
85,1990,32
97,2155,28
140,2565,26.5
130,3150,20
318,3940,13
120,3270,19
156,2930,19
168,3820,16.5
350,4380,16.5
350,4055,13
302,3870,13
318,3755,13
98,2045,31.5
111,2155,30
79,1825,36
122,2300,25.5
85,1945,33.5
305,3880,17.5
260,4060,17
318,4140,15.5
302,4295,15
250,3520,17.5
231,3425,20.5
225,3630,19
250,3525,18.5
400,4220,16
350,4165,15.5
400,4325,15.5
351,4335,16
97,1940,29
151,2740,24.5
97,2265,26
140,2755,25.5
98,2051,30.5
98,2075,33.5
97,1985,30
97,2190,30.5
146,2815,22
121,2600,21.5
80,2720,21.5
90,1985,43.1
98,1800,36.1
78,1985,32.8
85,2070,39.4
91,1800,36.1
260,3365,19.9
318,3735,19.4
302,3570,20.2
231,3535,19.2
200,3155,20.5
200,2965,20.2
140,2720,25.1
225,3430,20.5
232,3210,19.4
231,3380,20.6
200,3070,20.8
225,3620,18.6
258,3410,18.1
305,3425,19.2
231,3445,17.7
302,3205,18.1
318,4080,17.5
98,2155,30
134,2560,27.5
119,2300,27.2
105,2230,30.9
134,2515,21.1
156,2745,23.2
151,2855,23.8
119,2405,23.9
131,2830,20.3
163,3140,17
121,2795,21.6
163,3410,16.2
89,1990,31.5
98,2135,29.5
231,3245,21.5
200,2990,19.8
140,2890,22.3
232,3265,20.2
225,3360,20.6
305,3840,17
302,3725,17.6
351,3955,16.5
318,3830,18.2
350,4360,16.9
351,4054,15.5
267,3605,19.2
360,3940,18.5
89,1925,31.9
86,1975,34.1
98,1915,35.7
121,2670,27.4
183,3530,25.4
350,3900,23
141,3190,27.2
260,3420,23.9
105,2200,34.2
105,2150,34.5
85,2020,31.8
91,2130,37.3
151,2670,28.4
173,2595,28.8
173,2700,26.8
151,2556,33.5
98,2144,41.5
89,1968,38.1
98,2120,32.1
86,2019,37.2
151,2678,28
140,2870,26.4
151,3003,24.3
225,3381,19.1
97,2188,34.3
134,2711,29.8
120,2542,31.3
119,2434,37
108,2265,32.2
86,2110,46.6
156,2800,27.9
85,2110,40.8
90,2085,44.3
90,2335,43.4
121,2950,36.4
146,3250,30
91,1850,44.6
85,1835,40.9
97,2145,33.8
89,1845,29.8
168,2910,32.7
70,2420,23.7
122,2500,35
140,2905,23.6
107,2290,32.4
135,2490,27.2
151,2635,26.6
156,2620,25.8
173,2725,23.5
135,2385,30
79,1755,39.1
86,1875,39
81,1760,35.1
97,2065,32.3
85,1975,37
89,2050,37.7
91,1985,34.1
105,2215,34.7
98,2045,34.4
98,2380,29.9
105,2190,33
100,2320,34.5
107,2210,33.7
108,2350,32.4
119,2615,32.9
120,2635,31.6
141,3230,28.1
145,3160,30.7
168,2900,25.4
146,2930,24.2
231,3415,22.4
350,3725,26.6
200,3060,20.2
225,3465,17.6
112,2605,28
112,2640,27
112,2395,34
112,2575,31
135,2525,29
151,2735,27
140,2865,24
151,3035,23
105,1980,36
91,2025,37
91,1970,31
105,2125,38
98,2125,36
120,2160,36
107,2205,36
